ninguno	codigo	ut	at	ut_codigo	at_codigo	at_ut	at_ut_codigo	tag
0.6	0.13333333333333333	0.03333333333333333	0.03333333333333333	0.03333333333333333	0.06666666666666667	0.0	0.1	v0.1.64
0.4594594594594595	0.0888030888030888	0.03474903474903475	0.13127413127413126	0.0888030888030888	0.05405405405405406	0.003861003861003861	0.138996138996139	v0.1.196
0.6052631578947368	0.13157894736842105	0.0	0.10526315789473684	0.10526315789473684	0.02631578947368421	0.0	0.02631578947368421	v0.2.235
0.6666666666666666	0.1111111111111111	0.0	0.0	0.1111111111111111	0.1111111111111111	0.0	0.0	v0.2.241
0.3181818181818182	0.06818181818181818	0.045454545454545456	0.06818181818181818	0.29545454545454547	0.06818181818181818	0.0	0.13636363636363635	v0.3.257
0.3233082706766917	0.13533834586466165	0.06015037593984962	0.08270676691729323	0.24060150375939848	0.045112781954887216	0.007518796992481203	0.10526315789473684	v0.4.313
0.5	0.1	0.0	0.0	0.2	0.1	0.0	0.1	v0.4.317
0.4418604651162791	0.06976744186046512	0.11627906976744186	0.0	0.32558139534883723	0.0	0.023255813953488372	0.023255813953488372	v0.4.345
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	v0.4.350
0.3142857142857143	0.2	0.08571428571428572	0.02857142857142857	0.34285714285714286	0.0	0.0	0.02857142857142857	v0.5.365
0.6428571428571429	0.21428571428571427	0.0	0.07142857142857142	0.07142857142857142	0.0	0.0	0.0	v0.5.376
0.7391304347826086	0.17391304347826086	0.0	0.043478260869565216	0.0	0.043478260869565216	0.0	0.0	v0.5.390
